GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	1.89003393121835e-06	13.1021469144122	28.8721343041098	44	10431	protein binding
GO:0003723	2.24427399000117e-06	5.64548450598306	4.36223599494554	17	1576	RNA binding
GO:0044822	3.95031794657918e-05	5.21495886702072	3.25783741500692	13	1177	poly(A) RNA binding
GO:0003676	6.6873325095854e-05	3.52831328099596	10.900054154883	24	3938	nucleic acid binding
GO:0004668	0.000149112874768094	251.060606060606	0.0138395812022384	2	5	protein-arginine deiminase activity
GO:0005488	0.000485549910668709	Inf	38.5487694807148	46	13927	binding
GO:0016813	0.000507175650519495	83.6565656565657	0.0304470786449245	2	11	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
GO:0019789	0.000507175650519495	83.6565656565657	0.0304470786449245	2	11	SUMO transferase activity
GO:0003727	0.000709259351558586	19.8656776263031	0.168842890667309	3	61	single-stranded RNA binding
GO:0070717	0.000877481148481127	53.762987012987	0.0442866598471629	2	16	poly-purine tract binding
