GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	3.00090812910225e-56	12.7790218371756	259.849208736988	395	10431	protein binding
GO:0005488	1.94529564862427e-22	11.5468617920541	346.938925326434	407	13927	binding
GO:0003676	0.000191402268070673	1.54245444044874	98.1004873939467	133	3938	nucleic acid binding
GO:0016874	0.000386646259879977	2.46950409996095	10.4129008965642	24	418	ligase activity
GO:0004842	0.000386646259879977	2.61914522665159	8.59437992659005	21	345	ubiquitin-protein transferase activity
GO:0061630	0.000397679111255928	3.1519899224501	5.13171670979	15	206	ubiquitin protein ligase activity
GO:0061659	0.000397679111255928	3.10266645996434	5.20645044828209	15	209	ubiquitin-like protein ligase activity
GO:0044822	0.000397679111255928	1.79435781599145	29.3205367350623	49	1177	poly(A) RNA binding
GO:0019787	0.000397679111255928	2.49337674000898	8.99295986521451	21	361	ubiquitin-like protein transferase activity
GO:0003755	0.00058603871378899	6.79411764705882	1.02136109272519	6	41	peptidyl-prolyl cis-trans isomerase activity
GO:0016859	0.00058603871378899	6.60498366013072	1.04627233888922	6	42	cis-trans isomerase activity
GO:0003723	0.00058603871378899	1.64225660748625	39.2601239545099	60	1576	RNA binding
