GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	8.66231642956322e-34	11.4249950913018	161.935014140442	245	10431	protein binding
GO:0005488	1.35897964491382e-12	8.24950639853748	216.20831578314	252	13927	binding
GO:0004879	0.000247209895836862	9.03543743078627	0.760695589385643	6	49	RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding
GO:0098531	0.000247209895836862	9.03543743078627	0.760695589385643	6	49	transcription factor activity, direct ligand regulated sequence-specific DNA binding
GO:0003708	0.000247209895836862	48.1088235294118	0.108670798483663	3	7	retinoic acid receptor activity
GO:0003676	0.000255931861589329	1.65274911506239	61.1350863469523	87	3938	nucleic acid binding
GO:0003707	0.00028924678021834	7.92614188532556	0.853841988085926	6	55	steroid hormone receptor activity
GO:0003677	0.000638322728425734	1.6943956503555	38.0192550694988	58	2449	DNA binding
GO:0032934	0.000638322728425734	8.27100435796088	0.683073590468741	5	44	sterol binding
GO:0004886	0.000712864372251639	127.8125	0.0465731993501414	2	3	9-cis retinoic acid receptor activity
