GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005622	7.82146206881324e-16	4.18828464419476	286.088395923653	346	13696	intracellular
GO:0044424	7.82146206881324e-16	3.82324598478445	278.944541410957	341	13354	intracellular part
GO:0005634	1.26083702537068e-15	2.39537747466136	140.036259219639	218	6704	nucleus
GO:0005829	4.69608882268936e-13	2.42073372838468	65.6315522774619	125	3142	cytosol
GO:0044428	6.85005156633684e-12	2.2375102096379	79.6268228140307	139	3812	nuclear part
GO:0031981	5.58217372191104e-11	2.2017194625909	72.1069759585609	127	3452	nuclear lumen
GO:0005654	3.09773345380859e-10	2.22150901809742	59.5738978661111	109	2852	nucleoplasm
GO:0043229	8.43258275666016e-09	2.05636553634418	240.864872473397	293	11531	intracellular organelle
GO:0043226	1.3715992749203e-08	2.16109481517695	262.860424525646	311	12584	organelle
GO:0043233	1.55763236903735e-08	1.92912608490491	86.66623500929	136	4149	organelle lumen
GO:0070013	2.10640029766571e-08	1.9193908354473	85.4547041270199	134	4091	intracellular organelle lumen
GO:0031974	3.07774947969859e-08	1.89582786203433	87.7942120376105	136	4203	membrane-enclosed lumen
GO:0043231	1.35636007934012e-07	1.83969382364426	219.600416643207	269	10513	intracellular membrane-bounded organelle
GO:0043227	1.55253464912344e-07	1.90982307287556	244.269692021846	291	11694	membrane-bounded organelle
GO:0043228	5.19680401863145e-07	1.82153787832331	76.5144417544057	118	3663	non-membrane-bounded organelle
GO:0043232	5.19680401863145e-07	1.82153787832331	76.5144417544057	118	3663	intracellular non-membrane-bounded organelle
GO:0043234	5.67986738636791e-07	1.78191175307866	87.1257812060132	130	4171	protein complex
GO:0005737	6.09099487360536e-07	1.7585037007695	216.42537019312	263	10361	cytoplasm
GO:0032991	6.76642845441012e-07	1.7399013987401	100.89127864422	145	4830	macromolecular complex
GO:0031463	1.92951123460884e-06	16.7019230769231	0.563988514160239	7	27	Cul3-RING ubiquitin ligase complex
GO:0044464	2.02743169433941e-05	2.50687463519035	329.452846123529	353	15772	cell part
GO:0044422	2.02743169433941e-05	1.56745205746501	166.355723213783	207	7964	organelle part
GO:0005688	2.02743169433941e-05	47.3732970027248	0.16710770789933	4	8	U6 snRNP
GO:0005623	3.2180834309135e-05	2.45249904753689	330.246607736051	353	15810	cell
GO:0044427	5.5484837547315e-05	2.30383820292427	15.457462980688	33	740	chromosomal part
GO:0044446	8.7124211499002e-05	1.5061371646684	161.969145881426	199	7754	intracellular organelle part
GO:0005856	8.7124211499002e-05	1.77251144054254	40.2311806767637	65	1926	cytoskeleton
GO:0005694	8.7124211499002e-05	2.17726700251889	17.3165362310681	35	829	chromosome
GO:0097526	9.96504780841797e-05	13.9609450337512	0.459546196723157	5	22	spliceosomal tri-snRNP complex
GO:1990726	0.000111003455002128	70.875	0.104442317437081	3	5	Lsm1-7-Pat1 complex
GO:0046540	0.000440527849973725	14.5688534898344	0.355103879286076	4	17	U4/U6 x U5 tri-snRNP complex
GO:0008043	0.00049246726304783	Inf	0.0417769269748325	2	2	intracellular ferritin complex
GO:0070288	0.00049246726304783	Inf	0.0417769269748325	2	2	ferritin complex
GO:0044454	0.00049246726304783	2.41251184834123	9.2535893249254	21	443	nuclear chromosome part
GO:1902494	0.000733809429742619	1.86505450637187	21.1391250492652	37	1012	catalytic complex
GO:0005884	0.000863389778491041	5.04778554778555	1.52485783458139	7	73	actin filament
GO:1990234	0.000988184563780546	2.0343797249622	14.0579359270311	27	673	transferase complex
GO:0031461	0.000994596068263682	3.83538871349645	2.52750408197737	9	121	cullin-RING ubiquitin ligase complex
