GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005622	5.61366288670417e-12	3.11833248848434	296.884184449074	351	13696	intracellular
GO:0044424	3.05733218607395e-10	2.59842080995927	289.470750520804	341	13354	intracellular part
GO:0043229	1.5701500237084e-08	2.02329976452597	249.954112944091	303	11531	intracellular organelle
GO:0043226	3.86486325811692e-08	2.09124118282639	272.779685828501	321	12584	organelle
GO:0043231	7.62581355267579e-08	1.86142871103293	227.887224818422	280	10513	intracellular membrane-bounded organelle
GO:0005634	9.91142293231185e-08	1.76904576770764	145.320646360002	198	6704	nucleus
GO:0043227	4.12771886653205e-07	1.85298764055385	253.487416249085	300	11694	membrane-bounded organelle
GO:0044464	4.98859985482298e-06	2.77122825240197	341.885028996115	368	15772	cell part
GO:0005623	7.90489639952354e-06	2.71113921543232	342.708743877034	368	15810	cell
GO:0034709	0.000102908652511322	30.3937007874016	0.216767073926018	4	10	methylosome
GO:0030529	0.000131474295779561	2.27445575887502	15.130341760036	32	698	ribonucleoprotein complex
GO:0044428	0.000302858470388558	1.53608785363294	82.6316085805979	113	3812	nuclear part
GO:0015934	0.000302858470388558	5.0481966787753	1.97258037272676	9	91	large ribosomal subunit
GO:0034715	0.000343822793618751	45.479057591623	0.130060244355611	3	6	pICln-Sm protein complex
GO:0022625	0.00036905795826866	6.41703703703704	1.2355723213783	7	57	cytosolic large ribosomal subunit
GO:0005681	0.000505238784069509	3.50588794244409	3.6850402567423	12	170	spliceosomal complex
GO:0044422	0.000505238784069509	1.42675428931894	172.63329767468	206	7964	organelle part
GO:0022626	0.000544190913860054	4.40069035762789	2.23270086143798	9	103	cytosolic ribosome
GO:0005685	0.000544190913860054	14.0222087623662	0.36850402567423	4	17	U1 snRNP
GO:0005686	0.00065338446818717	13.0198725159355	0.390180733066832	4	18	U2 snRNP
GO:0044446	0.000677093313720945	1.40566301011098	168.081189122234	200	7754	intracellular organelle part
GO:0071013	0.000677093313720945	4.64614041567337	1.88587354315635	8	87	catalytic step 2 spliceosome
GO:0044391	0.000694978699124598	3.4709911361805	3.40324306063848	11	157	ribosomal subunit
GO:0097525	0.00073804800372435	6.23602782441833	1.08383536963009	6	50	spliceosomal snRNP complex
GO:0031981	0.000932895195633743	1.46798978352803	74.8279939192613	100	3452	nuclear lumen
