GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005634	3.77272909623008e-07	5.57293044438687	18.1178987669613	37	6704	nucleus
GO:0044428	0.00025345120287739	3.38086038532594	10.3021226282304	23	3812	nuclear part
GO:0043229	0.000308328436916339	4.66008008356546	31.1631101852373	43	11531	intracellular organelle
GO:0031981	0.000308328436916339	3.23760484471647	9.32920443668712	21	3452	nuclear lumen
GO:0097525	0.000652327503689107	25.0581560283688	0.135127526603232	3	50	spliceosomal snRNP complex
GO:0005622	0.000652327503689107	6.84608058608059	37.0141320871573	46	13696	intracellular
GO:0005881	0.000652327503689107	22.6423076923077	0.148640279263555	3	55	cytoplasmic microtubule
GO:0043226	0.000652327503689107	4.53771929824561	34.0088958955014	44	12584	organelle
GO:0030532	0.000652327503689107	21.8012345679012	0.154045380327684	3	57	small nuclear ribonucleoprotein complex
GO:0043228	0.000811216067959545	2.75871534449629	9.89944259895276	20	3663	non-membrane-bounded organelle
GO:0043232	0.000811216067959545	2.75871534449629	9.89944259895276	20	3663	intracellular non-membrane-bounded organelle
GO:0043231	0.000986367716861049	2.99493985105977	28.4119137435955	39	10513	intracellular membrane-bounded organelle
