GO	Term	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
GO:0005829	cytosol	1.08676429784369e-11	5.42507096489015e-11	NA	NA	0.00054711182494907	NA	2.1817276684155e-19	6.79740999037339e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5427789150716e-06	3.643339546668e-05
GO:0044444	cytoplasmic part	3.21272916430433e-08	4.1864056392173e-06	NA	NA	NA	NA	1.21949869755778e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23613268773122e-05	NA
GO:0005737	cytoplasm	3.21272916430433e-08	3.75854678398849e-06	NA	NA	NA	NA	3.85107772148791e-12	1.22145691289279e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.75330006677373e-05	NA
GO:0005622	intracellular	2.27013143779431e-05	2.11781886645281e-05	NA	NA	NA	0.000660762075617198	2.07150323863046e-17	4.19420245212198e-28	NA	0.000329197650685538	6.11059166081795e-05	9.53187069301967e-07	NA	NA	NA	4.80180746262998e-06	NA	0.000292539624067344	1.7844499907961e-07	NA	NA	NA	1.04860540198775e-08	NA	2.174293187491e-07	NA	4.7255204951057e-07
GO:0044424	intracellular part	4.90284332329644e-05	5.88174990116145e-06	NA	NA	NA	0.000389042242186655	5.30232329825596e-17	8.03732917182207e-30	NA	0.000340464325249336	0.000302768443107191	9.53187069301967e-07	NA	NA	NA	4.58950341356747e-05	NA	0.000292539624067344	2.24281931427756e-08	NA	NA	0.000538141587888628	6.14678037267648e-07	NA	4.02652283254028e-08	NA	8.39815620441189e-07
GO:0000439	core TFIIH complex	6.77911169062448e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0032807	DNA ligase IV complex	0.000125972832323826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	0.000398051217591766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0030669	clathrin-coated endocytic vesicle membrane	0.000521374855623522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex	0.000521374855623522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
