GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	6.14442304394838e-44	13.328	200.849629941633	306	10431	protein binding
GO:0005488	1.0033150793889e-18	15.6014987877452	268.165352909321	316	13927	binding
GO:0001071	0.000159380312194458	2.08583680008186	22.5669414525543	43	1172	nucleic acid binding transcription factor activity
GO:0003700	0.000159380312194458	2.08583680008186	22.5669414525543	43	1172	transcription factor activity, sequence-specific DNA binding
GO:0008134	0.000173844519884795	2.64374477570354	9.80083037487213	24	509	transcription factor binding
GO:0003714	0.000173844519884795	3.75887021475257	4.04356459474096	14	210	transcription corepressor activity
GO:0016874	0.000173844519884795	2.81325661524983	8.04861905048439	21	418	ligase activity
GO:0003677	0.000234025340201329	1.70040848453594	47.1556652024791	72	2449	DNA binding
GO:0000988	0.000234025340201329	2.44505494505495	10.9946446837957	25	571	transcription factor activity, protein binding
GO:0004842	0.000234025340201329	2.91123397533264	6.64299897707443	18	345	ubiquitin-protein transferase activity
GO:0036402	0.000234025340201329	51.4069400630915	0.115530416992599	3	6	proteasome-activating ATPase activity
GO:0061631	0.000277360582567744	11.2325741890959	0.539141945965461	5	28	ubiquitin conjugating enzyme activity
GO:0061650	0.000295533566847382	10.7638888888889	0.558397015464228	5	29	ubiquitin-like protein conjugating enzyme activity
GO:0003712	0.000295533566847382	2.4419443940402	10.0896564173536	23	524	transcription cofactor activity
GO:0019787	0.000295596408147184	2.77265267507192	6.9510800890547	18	361	ubiquitin-like protein transferase activity
GO:0000989	0.000323457872293171	2.35269523667314	10.9176244058006	24	567	transcription factor activity, transcription factor binding
GO:1901363	0.000480026203661434	1.47584429245692	111.929718996329	141	5813	heterocyclic compound binding
GO:0003676	0.000770180992663262	1.49786684088954	75.8264636861424	101	3938	nucleic acid binding
GO:0097159	0.000796734090096581	1.4459156063027	113.393104278236	141	5889	organic cyclic compound binding
