GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	5.49194737399364e-28	10.5229244114002	138.71177567844	209	10431	protein binding
GO:0005488	4.92811843660172e-10	7.0192775184753	185.201696853	215	13927	binding
GO:0004879	7.29316912575237e-07	14.9840833619604	0.651603586256694	8	49	RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding
GO:0098531	7.29316912575237e-07	14.9840833619604	0.651603586256694	8	49	transcription factor activity, direct ligand regulated sequence-specific DNA binding
GO:0003707	1.47095195769768e-06	13.0664269303766	0.731391780492208	8	55	steroid hormone receptor activity
GO:0003708	0.000156119967350631	56.401376146789	0.0930862266080992	3	7	retinoic acid receptor activity
GO:0032934	0.000452585478045827	9.70975783475783	0.585113424393766	5	44	sterol binding
GO:0003677	0.000452585478045827	1.79724655819775	32.5668812804621	52	2449	DNA binding
GO:0003676	0.000452585478045827	1.66689420884471	52.3676514832421	75	3938	nucleic acid binding
GO:0004886	0.000628204669378275	149.744292237443	0.0398940971177568	2	3	9-cis retinoic acid receptor activity
GO:0042054	0.000954177687813087	7.41966230936819	0.744689812864793	5	56	histone methyltransferase activity
GO:0097159	0.000986618602720059	1.54286166781848	78.3121126421566	101	5889	organic cyclic compound binding
