GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	3.03593351918121e-15	12.6953607748184	69.669715386004	106	10431	protein binding
GO:0005488	3.58360884254155e-06	10.6097119698943	93.0198567904206	109	13927	binding
GO:0004332	0.000440178345031729	302.880733944954	0.0200373066971539	2	3	fructose-bisphosphate aldolase activity
GO:0032795	0.000608615652056488	151.43119266055	0.0267164089295385	2	4	heterotrimeric G-protein binding
GO:0005212	0.000608615652056488	26.9460784313725	0.133582044647692	3	20	structural constituent of eye lens
GO:0046961	0.000749017168715617	22.9	0.153619351344846	3	23	proton-transporting ATPase activity, rotational mechanism
GO:0016765	0.000749017168715617	11.8303378864127	0.374029725013539	4	56	transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0044769	0.000749017168715617	20.8156565656566	0.166977555809616	3	25	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism
GO:0004364	0.000754679114158115	19.0787037037037	0.180335760274385	3	27	glutathione transferase activity
GO:0036442	0.000754679114158115	19.0787037037037	0.180335760274385	3	27	hydrogen-exporting ATPase activity
