GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005829	5.42507096489015e-11	3.06894599602004	33.2580372726761	74	3142	cytosol
GO:0005737	3.75854678398849e-06	2.28739044387899	109.671077078993	143	10361	cytoplasm
GO:0044444	4.1864056392173e-06	2.10145846082117	81.9489893587073	116	7742	cytoplasmic part
GO:0044424	5.88174990116145e-06	2.79469133929926	141.351950903665	168	13354	intracellular part
GO:0032993	1.0123352323968e-05	6.98370694368507	1.75710827093069	11	166	protein-DNA complex
GO:0005622	2.11781886645281e-05	2.66046464575722	144.972017341366	169	13696	intracellular
GO:0097361	2.11781886645281e-05	284.951351351351	0.0423399583356793	3	4	CIA complex
GO:0071817	4.32847763094306e-05	142.467567567568	0.0529249479195991	3	5	MMXD complex
GO:0032991	4.32847763094306e-05	1.91314279155188	51.1254996903328	78	4830	macromolecular complex
GO:0065010	4.32847763094306e-05	2.09336122068577	29.2780811891222	52	2766	extracellular membrane-bounded organelle
GO:0070062	4.32847763094306e-05	2.09336122068577	29.2780811891222	52	2766	extracellular exosome
GO:0043230	4.32847763094306e-05	2.08155913630579	29.4156860537132	52	2779	extracellular organelle
GO:1903561	4.32847763094306e-05	2.08155913630579	29.4156860537132	52	2779	extracellular vesicle
GO:0044428	4.98416111128393e-05	1.94993935527826	40.3499802939024	65	3812	nuclear part
GO:0031981	6.44051666059069e-05	1.95971219044811	36.5393840436912	60	3452	nuclear lumen
GO:0043234	0.000113571058144824	1.86034608822813	44.1499915545296	68	4171	protein complex
GO:0000811	0.00020979258634796	Inf	0.0211699791678397	2	2	GINS complex
GO:0072546	0.000235738437488941	40.6934362934363	0.105849895839198	3	10	ER membrane protein complex
GO:0044421	0.000299201112626185	1.80648395650625	39.7148809188672	61	3752	extracellular region part
GO:0000228	0.000299201112626185	3.19000559388402	5.08079500028152	15	480	nuclear chromosome
GO:0044454	0.000417378963224431	3.21538997401066	4.68915038567648	14	443	nuclear chromosome part
GO:0005654	0.000418952776341447	1.85754215036818	30.1883902933393	49	2852	nucleoplasm
GO:0043228	0.000424988581051998	1.77273098796342	38.7728168458983	59	3663	non-membrane-bounded organelle
GO:0043232	0.000424988581051998	1.77273098796342	38.7728168458983	59	3663	intracellular non-membrane-bounded organelle
GO:0031261	0.000424988581051998	188.94623655914	0.0317549687517595	2	3	DNA replication preinitiation complex
GO:0016282	0.000573073934099861	23.7310810810811	0.158774843758797	3	15	eukaryotic 43S preinitiation complex
GO:0033290	0.000573073934099861	23.7310810810811	0.158774843758797	3	15	eukaryotic 48S preinitiation complex
GO:0005852	0.000651577909629777	21.9043659043659	0.169359833342717	3	16	eukaryotic translation initiation factor 3 complex
GO:0070993	0.000651577909629777	21.9043659043659	0.169359833342717	3	16	translation preinitiation complex
GO:0070013	0.000692134303888535	1.69480635551142	43.303192387816	63	4091	intracellular organelle lumen
GO:0043596	0.000699209964096752	11.2141943734015	0.402229604188953	4	38	nuclear replication fork
GO:0043233	0.000951617512458468	1.66359471365639	43.9171217836833	63	4149	organelle lumen
