GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	2.10105385897433e-94	41.0232205956588	335.1678199651	526	10431	protein binding
GO:0005488	2.20960852436202e-36	35.5294864138549	447.500932667429	531	13927	binding
GO:0005200	1.52390697068631e-05	4.95075154730327	3.24532161983272	14	101	structural constituent of cytoskeleton
GO:0016538	6.1516445288154e-05	10.1606578115117	0.899693122329863	7	28	cyclin-dependent protein serine/threonine kinase regulator activity
GO:0017160	7.684215345449e-05	18.9945652173913	0.417714663938865	5	13	Ral GTPase binding
GO:0019904	9.1558708347381e-05	2.12789255006059	19.1827426439617	38	597	protein domain specific binding
GO:0008092	0.000153082306231142	1.91662499456451	25.7055177808532	46	800	cytoskeletal protein binding
GO:0008307	0.000406793124988341	6.27062172117424	1.31740778626873	7	41	structural constituent of muscle
GO:0004861	0.00051914598435111	15.1669811320755	0.385582766712799	4	12	cyclin-dependent protein serine/threonine kinase inhibitor activity
GO:0017016	0.000769109916044695	2.59849687731555	7.00475359528251	17	218	Ras GTPase binding
GO:0005198	0.000836904685711692	1.83540156408948	21.3355797581082	37	664	structural molecule activity
