GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	1.55430299917662e-115	16.5005931789762	490.198628076298	752	10431	protein binding
GO:0005488	4.35969042360963e-46	15.7177105503192	654.491064444311	771	13927	binding
GO:0017048	5.50527774086783e-05	4.42928492628623	3.71255791563873	14	79	Rho GTPase binding
GO:0017016	8.78245563346255e-05	2.68062751871042	10.2447800710031	25	218	Ras GTPase binding
GO:0097153	9.36134565489238e-05	20.4033505154639	0.469944039954269	5	10	cysteine-type endopeptidase activity involved in apoptotic process
GO:0097199	0.000112162416305063	40.7619047619048	0.281966423972562	4	6	cysteine-type endopeptidase activity involved in apoptotic signaling pathway
GO:0051020	0.000115493157723136	2.43003113827702	12.0775618268247	27	257	GTPase binding
GO:0031267	0.000160708240887392	2.4491273602648	11.0906793429208	25	236	small GTPase binding
GO:0019904	0.000224852333709853	1.82366053123998	28.0556591852699	48	597	protein domain specific binding
GO:0048365	0.000462625679569677	5.11190168175938	1.87977615981708	8	40	Rac GTPase binding
