GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0044424	8.03732917182207e-30	6.09256672873991	369.921063003209	466	13354	intracellular part
GO:0005622	4.19420245212198e-28	6.23131867951259	379.394853893362	469	13696	intracellular
GO:0043228	1.13418245269082e-27	2.95384978956134	101.469286639266	209	3663	non-membrane-bounded organelle
GO:0043232	1.13418245269082e-27	2.95384978956134	101.469286639266	209	3663	intracellular non-membrane-bounded organelle
GO:0044430	8.98878740588194e-24	3.61785021627541	38.7261978492202	111	1398	cytoskeletal part
GO:0005856	8.59988301319088e-21	3.02577955970614	53.352401328754	128	1926	cytoskeleton
GO:0005634	1.52526676237246e-18	2.28763723100562	185.708462361354	283	6704	nucleus
GO:0044422	5.01604702815644e-18	2.27926843393301	220.611902482968	317	7964	organelle part
GO:0044446	1.20198091498575e-17	2.24810452846455	214.794662462699	310	7754	intracellular organelle part
GO:0031981	1.54975882809555e-17	2.40100617957106	95.624345476043	177	3452	nuclear lumen
GO:0044428	1.872543439121e-17	2.34939591116164	105.596756939362	189	3812	nuclear part
GO:0043229	1.4179604749861e-16	2.49883177570093	319.421879398683	403	11531	intracellular organelle
GO:0005813	9.22990996617317e-15	4.36272804647893	13.1857440459434	49	476	centrosome
GO:0005815	9.22990996617317e-15	3.90435362802335	16.7868926299195	56	606	microtubule organizing center
GO:0032991	1.03877484883953e-14	2.1100691370647	133.79652046619	214	4830	macromolecular complex
GO:0005654	2.13127648585478e-14	2.29409627903239	79.0036597038455	147	2852	nucleoplasm
GO:0015630	4.95024896515679e-14	3.05886677519298	28.642981814087	75	1034	microtubule cytoskeleton
GO:0043234	7.4939933598654e-14	2.09997488068325	115.541467259726	190	4171	protein complex
GO:0005737	1.22145691289279e-13	2.11398079992377	287.011542142897	366	10361	cytoplasm
GO:0070013	1.9069310479815e-13	2.08020888252868	113.325375823433	186	4091	intracellular organelle lumen
GO:0043233	3.49135920802666e-13	2.05924231014308	114.932042114746	187	4149	organelle lumen
GO:0044464	5.23834744711795e-13	5.17133141511902	436.902426665165	480	15772	cell part
GO:0031974	1.12802325967653e-12	2.02330922212788	116.427903834244	187	4203	membrane-enclosed lumen
GO:0005623	1.23651920622078e-12	5.05936073059361	437.955070097404	480	15810	cell
GO:0043226	1.24656275011763e-12	2.29464687359424	348.591182928889	416	12584	organelle
GO:0005829	6.79740999037339e-11	2.01025066176868	87.0369911604076	146	3142	cytosol
GO:0044451	1.68178594417107e-09	2.91088214280711	19.2799954957491	50	696	nucleoplasm part
GO:0005882	9.61679607402138e-09	4.93261005894895	5.34632059005687	23	193	intermediate filament
GO:0045111	1.99781897500632e-07	3.95591135862629	6.78678002364732	24	245	intermediate filament cytoskeleton
GO:0044450	3.07949427334001e-07	5.33854462242563	3.65655086988345	17	132	microtubule organizing center part
GO:0005814	7.05378033106278e-07	6.21499044372127	2.63160858059794	14	95	centriole
GO:0044427	1.35727572616727e-06	2.40075322292502	20.4988457857103	45	740	chromosomal part
GO:0005694	2.23742348193823e-06	2.28231304287642	22.9642475085862	48	829	chromosome
GO:0043231	3.0317588834369e-06	1.57559968541093	291.222115871854	341	10513	intracellular membrane-bounded organelle
GO:0016604	6.90562384780816e-06	2.983658493657	9.50149203310624	26	343	nuclear body
GO:0042382	1.48421369318816e-05	70.766393442623	0.166206857721975	4	6	paraspeckles
GO:0005874	1.630411928508e-05	2.75855382384922	10.6095377512527	27	383	microtubule
GO:0045095	1.63604195410518e-05	5.30493827160494	2.57620629469061	12	93	keratin filament
GO:0043227	2.22892421905613e-05	1.54018822283041	323.937165700129	367	11694	membrane-bounded organelle
GO:0005681	3.36372488340168e-05	3.73567608861727	4.70919430212263	16	170	spliceosomal complex
GO:0005819	5.28199062922021e-05	2.95134947582344	7.70091774111818	21	278	spindle
GO:0030018	6.81048381569387e-05	4.47213541666667	2.99172343899555	12	108	Z disc
GO:0005730	0.000198625389258159	1.94688607594937	23.0473509374472	42	832	nucleolus
GO:0071013	0.000204144005439627	4.63221425877028	2.40999943696864	10	87	catalytic step 2 spliceosome
GO:0000922	0.000204144005439627	3.89977272727273	3.37953944034683	12	122	spindle pole
GO:0031674	0.000204144005439627	3.89977272727273	3.37953944034683	12	122	I band
GO:0030017	0.000232838081423216	3.22035174933153	5.04160801756658	15	182	sarcomere
GO:1902494	0.000260426051227184	1.82852977458787	28.0335566691065	48	1012	catalytic complex
GO:0030016	0.000287559199256908	3.00549958203177	5.73413659140814	16	207	myofibril
GO:0015629	0.000302518645672591	2.28281386724447	12.1331006137042	26	438	actin cytoskeleton
GO:0098687	0.000364081080657632	2.63813496371636	7.70091774111818	19	278	chromosomal region
GO:0000775	0.000390739995332356	3.17189237858164	4.76459658802995	14	172	chromosome, centromeric region
GO:0034399	0.00039252705960643	3.81135579193832	3.15793029671753	11	114	nuclear periphery
GO:0016363	0.000419393274486318	4.09739113845567	2.68701086650526	10	97	nuclear matrix
GO:0043292	0.000458350207917312	2.8400033280639	6.03884916389843	16	218	contractile fiber
GO:0044449	0.000540090422596407	2.90396056433792	5.5402285907325	15	200	contractile fiber part
GO:0072686	0.000542814538639773	5.65018744142455	1.41275829063679	7	51	mitotic spindle
GO:0030529	0.000601545587242177	1.91824179596094	19.3353977816564	35	698	ribonucleoprotein complex
GO:0031083	0.00067541695263881	12.8599105812221	0.415517144304938	4	15	BLOC-1 complex
GO:0000801	0.000725826113961871	26.4800613496933	0.193908000675638	3	7	central element
GO:0000123	0.000769654458964859	4.05456403805331	2.4377005799223	9	88	histone acetyltransferase complex
GO:1990617	0.000786992811886363	Inf	0.055402285907325	2	2	CHOP-ATF4 complex
GO:0016607	0.000786992811886363	2.87753089982206	5.20781487528855	14	188	nuclear speck
GO:0032432	0.000859923035097122	5.07216494845361	1.5512640054051	7	56	actin filament bundle
