GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	1.13679224642411e-27	Inf	87.2440580058969	139	10431	protein binding
GO:0005484	2.65642626788189e-21	90.4948680351906	0.309465070100487	15	37	SNAP receptor activity
GO:0000149	2.98564129595588e-13	19.6171351006068	0.970214814369096	15	116	SNARE binding
GO:0005488	1.0081829843502e-10	Inf	116.484325169986	139	13927	binding
GO:0019905	1.73916217300411e-06	13.5390963482567	0.685841506709188	8	82	syntaxin binding
GO:0004749	1.97969736470871e-05	181.742647058824	0.0418196040676334	3	5	ribose phosphate diphosphokinase activity
GO:0048306	3.18364863555597e-05	13.7226399331662	0.501835248811601	6	60	calcium-dependent protein binding
GO:0016894	4.32501631759868e-05	32.5234567901235	0.158914495457007	4	19	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters
GO:0016778	4.56280668437412e-05	90.8602941176471	0.0585474456946868	3	7	diphosphotransferase activity
GO:0019869	9.73523014567608e-05	60.5661764705882	0.0752752873217402	3	9	chloride channel inhibitor activity
GO:0048257	0.000132597963421921	Inf	0.0167278416270534	2	2	3'-flap endonuclease activity
GO:0050786	0.000157410600471312	45.4191176470588	0.0920031289487935	3	11	RAGE receptor binding
GO:0050294	0.000334744777397819	240.569343065693	0.0250917624405801	2	3	steroid sulfotransferase activity
GO:0008200	0.000336375061982901	15.2296296296296	0.301101149286961	4	36	ion channel inhibitor activity
GO:0016248	0.000349733333746423	14.7672278338945	0.309465070100487	4	37	channel inhibitor activity
GO:0017081	0.000388577361072905	27.941742081448	0.133822733016427	3	16	chloride channel regulator activity
GO:0032561	0.000456215424191519	3.69072916666667	3.2284734340213	11	386	guanyl ribonucleotide binding
GO:0000213	0.000456215424191519	120.277372262774	0.0334556832541067	2	4	tRNA-intron endonuclease activity
GO:0019001	0.000456215424191519	3.68068484042553	3.23683735483483	11	387	guanyl nucleotide binding
GO:0042802	0.000759986020795204	2.37236551215917	9.79415127263975	21	1171	identical protein binding
GO:0008146	0.000863471678617871	10.3596532702916	0.426559961489861	4	51	sulfotransferase activity
