GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	1.11899894993038e-135	35.0007243377483	490.198628076298	767	10431	protein binding
GO:0005488	4.82350232109685e-51	26.3793846309813	654.491064444311	775	13927	binding
GO:0017160	6.36926920771508e-05	17.5089400921659	0.61092725194055	6	13	Ral GTPase binding
GO:0005200	6.43888758223839e-05	3.87617070357555	4.74643480353812	16	101	structural constituent of cytoskeleton
GO:0016538	8.6300783446629e-05	8.18525226390686	1.31584331187195	8	28	cyclin-dependent protein serine/threonine kinase regulator activity
GO:0042802	0.000239410286014307	1.61207704786786	55.0304470786449	83	1171	identical protein binding
GO:0019899	0.000691167260799601	1.46855289276204	76.8828449365184	106	1636	enzyme binding
GO:0008092	0.000691167260799601	1.66489657982587	37.5955231963415	59	800	cytoskeletal protein binding
GO:0008307	0.00085776454095376	4.95668195538829	1.9267705638125	8	41	structural constituent of muscle
GO:0019904	0.000959611059742659	1.73636554440288	28.0556591852699	46	597	protein domain specific binding
GO:0043522	0.000959611059742659	13.5838695838696	0.469944039954269	4	10	leucine zipper domain binding
GO:0008017	0.000959611059742659	2.35224328890558	9.16390877910825	20	195	microtubule binding
GO:0000988	0.000959611059742659	1.73451527939052	26.8338046813888	44	571	transcription factor activity, protein binding
GO:0000980	0.000960948135245156	3.65527144710024	3.10163066369818	10	66	RNA polymerase II distal enhancer sequence-specific DNA binding
