GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	8.97578074220326e-11	9.79816407382356	54.6059931403815	82	10431	protein binding
GO:0005488	2.34580194923934e-05	16.720323676035	72.9074553222216	86	13927	binding
GO:0042802	2.91579385586662e-05	3.73034109477124	6.13015223539322	19	1171	identical protein binding
GO:0016765	2.91579385586662e-05	19.7046867527499	0.29315843311872	5	56	transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0004364	2.91579385586662e-05	34.5919329491881	0.141344244539383	4	27	glutathione transferase activity
GO:0008934	0.000116996430896375	388.964705882353	0.0157049160599314	2	3	inositol monophosphate 1-phosphatase activity
GO:0052832	0.000116996430896375	388.964705882353	0.0157049160599314	2	3	inositol monophosphate 3-phosphatase activity
GO:0052833	0.000116996430896375	388.964705882353	0.0157049160599314	2	3	inositol monophosphate 4-phosphatase activity
GO:0052834	0.000116996430896375	388.964705882353	0.0157049160599314	2	3	inositol monophosphate phosphatase activity
GO:0004459	0.000348600883373219	129.639215686274	0.0261748600998857	2	5	L-lactate dehydrogenase activity
GO:0004457	0.000473745632559822	97.2235294117647	0.0314098321198628	2	6	lactate dehydrogenase activity
GO:0000287	0.000553758433316532	6.50975706889685	1.00511462783561	6	192	magnesium ion binding
GO:0043138	0.000743189149152051	64.8078431372549	0.0418797761598171	2	8	3'-5' DNA helicase activity
