GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0051090	2.92050325233059e-05	3.47818587662338	8.27503628447025	26	362	regulation of sequence-specific DNA binding transcription factor activity
GO:0044260	6.71023149199433e-05	1.6397976902511	187.079825834543	232	8184	cellular macromolecule metabolic process
GO:0008152	6.71023149199433e-05	1.77723291538172	266.104136429608	305	11641	metabolic process
GO:0044237	6.71023149199433e-05	1.6717011987226	229.872278664731	272	10056	cellular metabolic process
GO:0010467	6.71023149199433e-05	1.62654122596856	118.502177068215	160	5184	gene expression
GO:0090304	6.71023149199433e-05	1.6234465408805	112.535921625544	153	4923	nucleic acid metabolic process
GO:0034641	6.71023149199433e-05	1.59564424967235	143.784470246734	186	6290	cellular nitrogen compound metabolic process
GO:1902589	6.71023149199433e-05	1.78367375434708	56.4165457184325	89	2468	single-organism organelle organization
GO:0006725	7.46727384980542e-05	1.59332813201882	130.023222060958	171	5688	cellular aromatic compound metabolic process
GO:0051171	7.46727384980542e-05	1.63322393620024	96.0087082728592	134	4200	regulation of nitrogen compound metabolic process
GO:0006139	7.46727384980542e-05	1.59116369314219	125.611393323657	166	5495	nucleobase-containing compound metabolic process
GO:0044271	8.71085721656783e-05	1.60109030262232	107.552612481858	146	4705	cellular nitrogen compound biosynthetic process
GO:0043297	8.71085721656783e-05	7.41141279337322	1.41727140783745	9	62	apical junction assembly
GO:0043170	9.20400321443756e-05	1.57758680757171	202.395500725689	243	8854	macromolecule metabolic process
GO:0006807	0.000102983962388938	1.55448377401388	150.825108853411	191	6598	nitrogen compound metabolic process
GO:0030163	0.000102983962388938	2.28659679823085	17.5787373004354	37	769	protein catabolic process
GO:0006366	0.000102983962388938	1.80469621876408	44.9183599419448	73	1965	transcription from RNA polymerase II promoter
GO:0010556	0.000102983962388938	1.61009374068896	89.5852685050798	125	3919	regulation of macromolecule biosynthetic process
GO:0080090	0.000102983962388938	1.55576682303924	130.183236574746	169	5695	regulation of primary metabolic process
GO:0046483	0.000119955440304825	1.54854651162791	129.657474600871	168	5672	heterocycle metabolic process
GO:1901575	0.000122243000387965	1.82261270962446	40.5751088534107	67	1775	organic substance catabolic process
GO:0070830	0.000132597795890285	7.5732079905993	1.2343976777939	8	54	bicellular tight junction assembly
GO:0031325	0.000132597795890285	1.66343448436228	64.9430333817126	96	2841	positive regulation of cellular metabolic process
GO:0031323	0.000132597795890285	1.53629374991432	132.149129172714	170	5781	regulation of cellular metabolic process
GO:0044238	0.000133997732500796	1.56949135676892	229.620827285922	267	10045	primary metabolic process
GO:2000112	0.000133997732500796	1.58970916188541	87.1621915820029	121	3813	regulation of cellular macromolecule biosynthetic process
GO:0060255	0.000133997732500796	1.53203357489254	129.634615384615	167	5671	regulation of macromolecule metabolic process
GO:0016070	0.000133997732500796	1.56120211692336	101.72351233672	137	4450	RNA metabolic process
GO:0010604	0.000133997732500796	1.6586236167002	63.5943396226415	94	2782	positive regulation of macromolecule metabolic process
GO:0009893	0.000144226391877884	1.60135177420364	79.4586357039187	112	3476	positive regulation of metabolic process
GO:1901360	0.000153123548926033	1.51952422101357	134.915094339623	172	5902	organic cyclic compound metabolic process
GO:0071704	0.000172421662091185	1.55866165115819	237.164368650218	273	10375	organic substance metabolic process
GO:0035556	0.000172421662091185	1.65650779946915	59.9368650217707	89	2622	intracellular signal transduction
GO:0051091	0.000175117978939926	3.40587717191128	5.09760522496372	16	223	positive regulation of sequence-specific DNA binding transcription factor activity
GO:0048522	0.00018592016471641	1.53703682655149	103.712264150943	138	4537	positive regulation of cellular process
GO:0031326	0.000186097634954992	1.55180436070969	93.7227866473149	127	4100	regulation of cellular biosynthetic process
GO:0009889	0.000190268782457862	1.54798406374502	94.7285921625544	128	4144	regulation of biosynthetic process
GO:0010468	0.000222618334272893	1.53893679907683	94.294267053701	127	4125	regulation of gene expression
GO:0042176	0.000222618334272893	2.55291541643014	10.1037735849057	24	442	regulation of protein catabolic process
GO:0008219	0.000222618334272893	1.72491559898509	43.9125544267054	69	1921	cell death
GO:0016265	0.000222618334272893	1.72491559898509	43.9125544267054	69	1921	death
GO:0019222	0.000238770992845644	1.48470807210031	150.093613933237	186	6566	regulation of metabolic process
GO:0012501	0.000238995917789162	1.73606180144642	41.6266328011611	66	1821	programmed cell death
GO:0051247	0.000264203144110954	1.79572947331885	34.5402757619739	57	1511	positive regulation of protein metabolic process
GO:0009128	0.000267094651234024	64.624	0.114296081277213	3	5	purine nucleoside monophosphate catabolic process
GO:0019219	0.000267094651234024	1.53431283062136	89.4938316400581	121	3915	regulation of nucleobase-containing compound metabolic process
GO:0010629	0.00026916064776733	1.79807780320366	33.8544992743106	56	1481	negative regulation of gene expression
GO:0006915	0.000280386272956458	1.72410843858807	41.1923076923077	65	1802	apoptotic process
GO:0048519	0.000288917352728686	1.50847253775224	100.786284470247	133	4409	negative regulation of biological process
GO:0043280	0.000288917352728686	4.21827047181988	2.85740203193033	11	125	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0016567	0.000288917352728686	2.13457556935818	16.5957910014514	33	726	protein ubiquitination
GO:0009059	0.00029137242737495	1.49175693755125	112.924528301887	146	4940	macromolecule biosynthetic process
GO:0051252	0.000295671653785954	1.53767130655537	82.7732220609579	113	3621	regulation of RNA metabolic process
GO:0034645	0.000304904331227302	1.49179915035256	109.404208998549	142	4786	cellular macromolecule biosynthetic process
GO:0009056	0.000304904331227302	1.64846196694931	50.656023222061	76	2216	catabolic process
GO:2001141	0.000345171555562932	1.53214594863993	80.55587808418	110	3524	regulation of RNA biosynthetic process
GO:0051173	0.000345171555562932	1.70992907801418	40.1179245283019	63	1755	positive regulation of nitrogen compound metabolic process
GO:0034654	0.000345171555562932	1.50372023809524	95.0486211901306	126	4158	nucleobase-containing compound biosynthetic process
GO:0097659	0.000361589018443501	1.5226697979771	83.3904208998549	113	3648	nucleic acid-templated transcription
GO:1903506	0.000409578444019986	1.52330619596936	80.0986937590711	109	3504	regulation of nucleic acid-templated transcription
GO:0045862	0.000409578444019986	2.60691155386365	8.20645863570392	20	359	positive regulation of proteolysis
GO:0018130	0.000426734379262701	1.48903653322289	96.5801886792453	127	4225	heterocycle biosynthetic process
