GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	1.16724734139206e-63	14.0955233938603	284.327757386124	434	10431	protein binding
GO:0005488	2.19376645429459e-26	14.8447329376855	379.621577712257	447	13927	binding
GO:0016874	5.66335917842549e-07	3.10733142160905	11.393826343342	32	418	ligase activity
GO:0019787	5.60388501081013e-05	2.75193313306631	9.84012275106805	25	361	ubiquitin-like protein transferase activity
GO:0004842	6.09166474463947e-05	2.76147528483977	9.40399542692099	24	345	ubiquitin-protein transferase activity
GO:0061630	0.000741400704486368	2.86434052929786	5.61513929839341	15	206	ubiquitin protein ligase activity
GO:0061659	0.000741400704486368	2.81951701737043	5.69691317167098	15	209	ubiquitin-like protein ligase activity
GO:0004372	0.000741400704486368	Inf	0.0545159155183826	2	2	glycine hydroxymethyltransferase activity
GO:0004615	0.000741400704486368	Inf	0.0545159155183826	2	2	phosphomannomutase activity
GO:0004793	0.000741400704486368	Inf	0.0545159155183826	2	2	threonine aldolase activity
GO:0008732	0.000741400704486368	Inf	0.0545159155183826	2	2	L-allo-threonine aldolase activity
